,player_name,offense_est,defense_est,total_est,rank
165,Katie Lou Samuelson,-1.6992638010618695,-0.6437120676850052,-2.3429758687468745,98
143,Erica Wheeler,-1.7354477761795786,-0.634118561095852,-2.3695663372754305,99
199,Monique Billings,-2.200861425987198,-0.21798407812412182,-2.41884550411132,100
148,Joyner Holmes,-2.101537142404461,-0.3538888440372483,-2.4554259864417096,101
185,Sevgi Uzun,-2.351614200452812,-0.10912239211350341,-2.460736592566316,102
189,Maddy Siegrist,-1.3127725254838694,-1.1517978197078584,-2.464570345191728,103
157,Sug Sutton,-2.335383589799327,-0.3960267692141519,-2.731410359013479,104
204,Rickea Jackson,-1.4528901592912686,-1.3601663678381672,-2.8130565271294357,105
176,Aerial Powers,-2.2259649245868602,-0.6314323067278945,-2.8573972313147546,106
160,Julie Vanloo,-1.743893996573583,-1.270884109430578,-3.0147781060041607,107
183,Mikiah Herbert Harrigan,-2.5005007551346705,-0.5210306658327524,-3.021531420967423,108
194,Isabelle Harrison,-2.517020889473677,-0.5180798481650537,-3.0351007376387305,109
193,Kia Nurse,-1.637830074128883,-1.5524836109213929,-3.190313685050276,110
201,Dana Evans,-1.549440377717174,-1.6707096822275278,-3.220150059944702,111
191,Li Yueru,-2.438681821504137,-0.820178413487131,-3.258860234991268,112
167,Michaela Onyenwere,-2.573767828902833,-0.7092761483262248,-3.283043977229058,113
184,Maya Caldwell,-2.4212988030961236,-0.8651200455340061,-3.2864188486301296,114
171,Haley Jones,-2.671221319575755,-0.6308341965215355,-3.3020555160972904,115
146,Lorela Cubaj,-3.1233167049364545,-0.1923128829236566,-3.315629587860111,116
186,Diamond DeShields,-3.2775721243531337,-0.4952265943109755,-3.7727987186641094,117
197,Nia Coffey,-3.557896746585436,-0.2639967891926285,-3.821893535778065,118
203,Dearica Hamby,-2.9320138463528638,-0.9061554234270481,-3.838169269779912,119
190,Crystal Dangerfield,-2.7217631663172184,-1.1275541211816942,-3.8493172874989128,120
161,Zia Cooke,-2.493273197147454,-1.3700381293661132,-3.8633113265135677,121
147,Diamond Miller,-3.474225488722613,-0.6223448094139418,-4.096570298136555,122
202,Jacy Sheldon,-2.8862592631520685,-1.370547014160974,-4.256806277313043,123
173,Brianna Turner,-3.9431521533328464,-0.32262909265519657,-4.265781245988043,124
172,DiDi Richards,-3.484411696012859,-1.2442565262068939,-4.728668222219753,125
